"Code","Desc","Status","System","Rating","RatingBreeding","RatingPerf","RatingCustom"
"LTG","LAURIE TRAPP / GABY VANDABEELE","A","False",,,,
"RSP","REYNEART/SCHELLENS/PREMIER OLYMP","A","False",,,,
"KPB","KOOPMAN/PREMIER OLYMPIADE/BOSUA","A","False",,,,
"VDH","VAN DER RHEE / HERMAN CUESTERS","A","False",,,,
"VDC","VD RHEE 75% / HERMAN CEUSTER 25%","A","False",,,,
"REP","REYNEART/NAT IIXPREMIER OLYMPIAD","A","False",,,,
"RN2","REYNEART X SCHELLEN NATIONAAL II","A","False",,,,
"NVD","NATIONAAL II X VAN DE RHEE","A","False",,,,
"VBO","VAN DE RHEE/BOSUA/REYNEART","A","False",,,,
"VVP","VANDERHEE/VANDEPASCH/REYNEART","A","False",,,,
"VDO","V.D.RHEE X PREMIER OLYMPIADE","A","False",,,,
"VE","VERSTRAETE","A","False",,,,
"RAS","DE RAUW-SABLON","A","False",,,,
"MS","M SANGERS","A","False",,,,
"M","MARCELIS","A","False",,,,
"JH","JAMIE HARRIGAN","A","False",,,,
"GOX","GOODGER CROSS","A","False",,,,
"GO","GOODGER","A","False",,,,
"HMN","HORSEMAN","A","False",,,,
"GX","GOODGER X","A","False",,,,
"GP","GOODGER/PRIOR","A","False",,,,
"VRR","VANDERHEE X REYNEART","A","False",,,,
"NRG","NAT2/REYNEART/GABY","A","False",,,,
"NRM","NAT2/REYNEART/MUNNIK","A","False",,,,
"NRA","NAT2/RENEART/MUNNIK/VERRALL","A","False",,,,
"GH","GOODGER X HORSEMAN","A","False",,,,
"MAB","MARCEL AELBRECHT","A","False",,,,
"PM","PAT MURPHY","A","False",,,,
"DVV","DR VANDERSANDEN X VD RHEE","A","False",,,,
"GAH","GABBY VB X HOUBEN","A","False",,,,
"MV","MARIJKE VINK","A","False",,,,
"MO","MORLEY (TMBA)","A","False",,,,
"HA","HANSEENE","A","False",,,,
"HEC","HEREMAN - CEUSTERS","A","False",,,,
"HL","LEO HEREMANS","A","False",,,,
"WO","WOUTERS","A","False",,,,
"SCH","SCHELLENS","A","False",,,,
"HER","HERBOTS","A","False",,,,
"PEA","KEV & JAN PEARSON","A","False",,,,
"SP","KIZZA SUPER","A","False",,,,
"MUV","MUNNIK X VANDERHEE","A","False",,,,
"RUT","RUTZ & SONS","A","False",,,,
"BMV","BOSUA X MARIJKE VINK","A","False",,,,
"HKR","HARDY KRUGER","A","False",,,,
"HRE","REYNEART X HARDY KRUGER","A","False",,,,
"TAS","TASSIE SPRINTER","A","False",,,,
"MM","MALONE & MURPHY","A","False",,,,
"MA","MALONE","A","False",,,,
"MUM","MUNNIK X MALONE","A","False",,,,
"RVE","RAOUL VERSTRAETE","A","False",,,,
"RV","REYNAERTXVERSTRAETE","A","False",,,,
"VEH","VERSTRAETEXHEBBRECHT","A","False",,,,
"MAL","MALONE","A","False",,,,
"HK","HARDY KRUGER","A","False",,,,
"VK","VERVOORT/KRUGER","A","False",,,,
"DR","DRAPA","A","False",,,,
"WGL","WALL, GREEN & LUNT","A","False",,,,
"WLG","WALL, LUNT & GREEN","A","False",,,,
"FE","FLOR ENGELS","A","False",,,,
"GW","GASTON VAN DE WOUWERS","A","False",,,,
"MAM","MURPHY & MALONE","A","False",,,,
"DEH","DE HAAN X BUSSCHEART","A","False",,,,
"ROO","ROORDING","A","False",,,,
"BAL","BALFE HARRISON","A","False",,,,
"ADH","AARDEN X DEHAAN","A","False",,,,
"ZAN","ZANDER","A","False",,,,
"LDH","LEFEBRA DHANIAN","A","False",,,,
